2025-12-05 22:07:50.899 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: ✅ Created index idx_msg_topic_id
2025-12-05 22:07:51.161 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: 🔄 [MIGRATION] Checking if foreign key CASCADE migration is needed...
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: 🔍 [MIGRATION] group_members FK check result: [object Object]
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: 🔍 [MIGRATION] group_members has CASCADE? true
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: ✅ [MIGRATION] group_members already has CASCADE, skipping migration
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: [sqlite-monitoring] 📊 Migration skipped in 66ms
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 403 - Msg: ✅ Database migration completed
2025-12-05 22:07:51.239 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: ✅ Tables created in encrypted database
2025-12-05 22:07:51.240 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: ✅ Encrypted SQLite ready
2025-12-05 22:07:51.240 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] Verifying database integrity...
2025-12-05 22:07:51.304 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 780 - Msg: [supabase-pipeline] 16:37:51.294 📦 Outbox pre-check: sqliteReady after 1416ms
2025-12-05 22:07:51.305 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 488 - Msg: [db-connection] 🔍 getConnection() called - dbName: confessr_db, isOpen: true
2025-12-05 22:07:51.325 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] group_members table exists: ✅
2025-12-05 22:07:51.396 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 780 - Msg: [supabase-pipeline] 16:37:51.356 📦 No outbox messages to process; idle
2025-12-05 22:07:51.423 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] group_members has CASCADE: ✅
2025-12-05 22:07:51.504 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] group_members row count: 1
2025-12-05 22:07:51.646 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] Existing rows: [object Object]
2025-12-05 22:07:51.646 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] 📋 Row 1 FULL IDs: [object Object]
2025-12-05 22:07:51.728 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] Database encrypted: ✅
2025-12-05 22:07:51.729 17188-17188 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-DX3WMLYl.js - Line 107 - Msg: 🏥 [HEALTH-CHECK] Health check complete
